throughput,thermal_load,power_usage,storage_health,cooling_efficiency,material_availability,deadline_pressure,maintenance_health,machine_health,inventory_level,defect_rate,line_utilization,energy_cost,severity
84,50,68,91,96,93,40,87,90,75,3,70,50,NORMAL
62,72,68,91,88,60,40,87,90,50,5,70,50,NORMAL
84,92,100,91,88,93,40,87,72,75,10,70,85,CRITICAL
76,88,68,91,73,93,40,87,90,75,17,70,50,WARNING
84,64,68,91,90,93,40,87,90,75,3,70,50,NORMAL
60,87,68,91,69,93,40,87,90,75,23,70,50,WARNING
73,72,68,91,88,79,40,87,90,65,5,70,50,NORMAL
84,72,59,91,88,93,15,87,90,75,5,46,50,NORMAL
84,51,68,91,95,93,40,87,90,75,2,70,50,NORMAL
84,72,65,91,88,93,33,87,90,75,5,67,50,NORMAL
84,56,68,91,100,93,40,87,90,75,1,70,50,NORMAL
71,72,68,91,88,74,40,87,90,57,5,70,50,NORMAL
84,92,100,91,88,93,40,87,75,75,10,70,70,CRITICAL
100,72,77,91,88,93,69,87,90,45,5,70,50,NORMAL
79,77,68,91,84,93,40,87,90,75,7,70,50,NORMAL
84,67,68,91,93,93,40,87,90,75,4,70,50,NORMAL
79,72,68,91,88,83,40,87,90,69,5,70,50,NORMAL
84,72,60,91,88,93,5,87,90,75,5,50,50,NORMAL
84,72,55,91,88,93,14,87,90,75,5,52,50,NORMAL
84,76,80,91,88,93,40,87,83,75,5,70,60,WARNING
84,82,97,91,88,93,40,87,74,75,10,70,68,CRITICAL
92,72,75,91,88,93,61,87,90,50,5,70,50,NORMAL
84,79,83,91,88,93,40,87,85,75,5,70,59,WARNING
69,72,68,91,88,65,40,87,90,47,5,70,50,NORMAL
58,95,68,91,71,93,40,87,90,75,26,70,50,WARNING
79,78,68,91,83,93,40,87,90,75,13,70,50,NORMAL
51,72,68,91,88,54,40,87,90,27,5,70,50,NORMAL
97,72,85,91,88,93,91,87,90,27,5,70,60,WARNING
84,72,60,91,88,93,23,87,90,75,5,56,50,NORMAL
95,72,76,91,88,93,53,87,90,62,5,70,50,NORMAL
90,72,77,91,88,93,51,87,90,67,5,70,50,NORMAL
75,97,68,91,61,93,40,87,90,75,19,70,50,WARNING
84,80,83,91,88,93,40,87,81,75,5,70,67,WARNING
84,53,68,91,100,93,40,87,90,75,2,70,50,NORMAL
99,72,82,91,88,93,68,87,90,58,5,70,50,WARNING
84,72,53,91,88,93,13,87,90,75,5,55,50,NORMAL
66,72,68,91,88,49,40,87,90,39,5,70,50,NORMAL
86,72,70,91,88,93,43,87,90,68,5,70,50,NORMAL
84,84,93,91,88,93,40,87,78,75,10,70,73,CRITICAL
84,72,66,91,88,93,31,87,90,75,5,65,50,NORMAL
85,72,69,91,88,93,44,87,90,72,5,70,50,NORMAL
82,76,68,91,86,93,40,87,90,75,9,70,50,NORMAL
84,76,79,91,88,93,40,87,86,75,5,70,57,NORMAL
72,72,68,91,88,56,40,87,90,43,5,70,50,NORMAL
83,72,68,91,88,90,40,87,90,72,5,70,50,NORMAL
84,81,90,91,88,93,40,87,81,75,10,70,74,CRITICAL
84,35,68,91,100,93,40,87,90,75,4,70,50,NORMAL
84,81,93,91,88,93,40,87,77,75,10,70,80,CRITICAL
84,72,64,91,88,93,30,87,90,75,5,62,50,NORMAL
84,72,66,91,88,93,37,87,90,75,5,67,50,NORMAL
85,72,68,91,88,93,42,87,90,73,5,70,50,NORMAL
56,100,68,91,64,93,40,87,90,75,30,70,50,WARNING
84,72,56,91,88,93,17,87,90,75,5,55,50,NORMAL
78,72,68,91,88,82,40,87,90,69,5,70,50,NORMAL
96,72,79,91,88,93,64,87,90,50,5,70,50,NORMAL
84,57,68,91,97,93,40,87,90,75,4,70,50,NORMAL
84,59,68,91,98,93,40,87,90,75,3,70,50,NORMAL
84,72,53,91,88,93,19,87,90,75,5,44,50,NORMAL
